
text,label
قدنا في الطريق لا تستعجل,safe
خلنا نلتقي عند البقالة,safe
اشتي اشوفك اليوم,safe
جيب معك العصير وانت جاي,safe
وينك اختفيت فجأة,safe
بكرة بنراجع الدرس سوا,safe
لا تنساش تسكر الباب,safe
امشي معي للمكتبة,safe
قدنا خلصنا الواجب,safe
تعال نتغدى سوا,safe
اشتي اسمع رأيك,safe
خلنا نروح البحر اليوم,safe
وين السيارة حطيتها,safe
هات الشنطة حقك,safe
بكلمك لما اوصل,safe
تعال نشتري اغراض البيت,safe
قدك صاحي ولا نايم,safe
وين الشباب مجتمعين,safe
خلنا نجهز القهوة,safe
اشتي اروح الحلاق,safe
بكرة عندنا مشوار,safe
تعال نذاكر بالمكتبة,safe
وين الحجز حقنا,safe
خلنا نرتب الغرفة,safe
اشتي اتطمن عليك,safe
جيب السماعة معك,safe
امشي نلعب بلوت,safe
قدنا متفقين من قبل,safe
خلنا نطلب عشاء,safe
وينك تأخرت علينا,safe
اشتي اروح السوق القديم,safe
باصبر لك تحت البيت,safe
تعال نغير مكان الجلسة,safe
قدنا خلصنا الشغل بدري,safe
وين اللابتوب حقي,safe
خلنا نحجز تذاكر,safe
اشتي اتمشى شوية,safe
جيب الكتاب وانت جاي,safe
وين العيال راحوا,safe
تعال نراجع المشروع,safe
قدنا نلتقي بعد الصلاة,safe
اشتي استشيرك بشي,safe
خلنا نروح الكافتيريا,safe
وين وصلت خبرني,safe
هات الشاحن بسرعة,safe
بكرة نبدأ بدري,safe
تعال نجرب المطعم الجديد,safe
اشتي اغير جو اليوم,safe
وينك ما تظهر بالقروب,safe
يلا نمشي قبل الزحمة,safe

تعال نلعب بلوت اليوم,safe
وين وصلت بالطريق,safe
خلنا نروح البر بكرة,safe
قدنا نلتقي في المدرسة,safe
جيب معك الموز والتفاح,safe
اشتي اشتري لك هدية بسيطة,safe
وينك دايما تاخر علينا,safe
بكرة بنزور الجدة,safe
تعال نكسر الساعة مع بعض,safe
قدك صاحي ولا نايف,safe
خلنا نجهز للعزبة,safe
اشتي اسمع قران اليوم,safe
جيب معك الشاي وانت جاي,safe
وين السويت حقك,safe
امشي نروح المزرعة,safe
قدنا متفقين على الميعاد,safe
خلنا نطلب من المطعم,safe
اشتي اتمشى على الكورنيش,safe
بكرة عندنا عزوة,safe
تعال نختار الاغاني,safe
وين الجلسة الليلة,safe
خلنا نرتب البيت,safe
اشتي اروح الجامعة بدري,safe
جيب معك القهوة اليمنية,safe
وين الشباب رايحين,safe
تعال نلعب بلايستيشن,safe
قدنا ندرس للمادة,safe
اشتي اتصل فيك قبل المغرب,safe
خلنا نجهز للعيد,safe
وين الحجز حق الرحلة,safe
امشي نتمشى في الحديقة,safe
قدك مستعد للاختبار,safe
اشتي اشتري لك لحم طازة,safe
جيب معك الشنطة حق السفر,safe
وينك ساكت ليه,safe
تعال نخطط للاجازة,safe
خلنا نطلب بيتزا,safe
اشتي اروح النادي اليوم,safe
بكرة بنزور الاقارب,safe
قدنا نلتقي بعد المغرب,safe
وين المفتاح حقي,safe
امشي نشتري اغراض العيد,safe
اشتي اسمع اخبارك,safe
جيب معك الحلا وانت جاي,safe
وينك ما ترد على اتصالاتي,safe
تعال نجهز للعشاء,safe
خلنا نشوي لحم في البر,safe
اشتي اروح البحر الصبح,safe
بكرة بنسافر ان شاء الله,safe
قدنا نروح الجمعة,safe
"بالله وين راحت المفاتيح؟",safe
"شفت الجيران اليوم؟",safe
"تعال نروح الحارة شوي.",safe
"على بالي الطقس اليوم حار.",safe
"خذلك كباية شاهي.",safe
"وين الخبز اليوم؟",safe
"خلينا نجلس تحت الشجرة.",safe
"أمس اشتريت تمر جديد.",safe
"ياخي الطريق زحمة اليوم.",safe
"اشتي أروح السوق القديم.",safe
"بالله جبت معي اللبن؟",safe
"وين الولد ذا اليوم؟",safe
"الحيطان محتاجة صبغ.",safe
"تعال نقطع البرتقال سوا.",safe
"شفت لك سيارة قديمة حلوة.",safe
"يا سلام على القهوة اليوم.",safe
"خلي باب البيت مسكر.",safe
"وين العيال راحوا؟",safe
"أمس دخلت المزرعة.",safe
"بكره عندنا عرس قريب.",safe
"اشتي أجيب لك هدية بسيطة.",safe
"بالله ما ننسى الغدا.",safe
"الجو اليوم معتدل والحمد لله.",safe
"تعال نلعب كرة في الحوش.",safe
"شفت الحلاق الجديد في الحارة؟",safe
"اشتريت لك صحن فواكه.",safe
"ياخي زرت عمتي أمس.",safe
"خلينا نجلس في السطح.",safe
"وين المحل الجديد؟",safe
"اليوم بدري أمشي للمدرسة.",safe
"خلي الكلب جنب الباب.",safe
"شفت النجار اليوم في الحارة؟",safe
"اشتي أتعشى معك اليوم.",safe
"تعال نزرع شوية خضرة.",safe
"بكره عندنا عيد في الحارة.",safe
"اشتريت لك حلوة يمنية.",safe
"وين المويه اليوم؟",safe
"شفت لك كلب جديد في السوق.",safe
"خلي الباب مسكر كويس.",safe
"يا سلام على العسل هذا.",safe
"اشتي أشتري لك لباس جديد.",safe
"تعال نروح البحر بكرة.",safe
"الجو اليوم صافي والحمد لله.",safe
"وين الغنم اليوم؟",safe
"أمس لعبنا كرة في الحوش.",safe
"شفت لك مسجد جديد في الحارة.",safe
"اشتي أروح السوق بكرة.",safe
"بالله وين الفاكهة اليوم؟",safe
"تعال نشرب شاي مع بعض.",safe
"خلينا نفتح الستارة اليوم.",safe
"اليوم الشمس حارة قوي.",safe
"اشتي أشتري لك خبز طازة.",safe
"تعال نلعب لعبة جديدة.",safe
"شفت لك سيارة مستعملة حلوة.",safe
"وين العم اليوم؟",safe
"أمس دخلت المدرسة بدري.",safe
"ياخي اشتقت لك كثير.",safe
"خلينا نعمل غداء جماعي.",safe
"الجو اليوم غائم شوي.",safe
"اشتي أشتري لك كيس رز.",safe
"تعال نتمشى في الحارة.",safe
"شفت لك مقهى جديد.",safe
"وين العزبة اليوم؟",safe
"أمس لعبنا مع العيال.",safe
"بالله اشتي أروح المزرعة.",safe
"تعال نفتح البلكونة.",safe
"الجو اليوم جميل والحمد لله.",safe
"شفت لك محل جديد للحلويات.",safe
"اشتي أجيب لك ماء.",safe
"وين السيارة متوقفة اليوم؟",safe
"أمس جلسنا تحت الشجرة.",safe
"خلينا نعمل شي لذيذ للعشاء.",safe
"تعال نقطع شوية فواكه.",safe
"شفت لك بيت جديد في الحارة.",safe
"اشتي أشتري لك حليب طازة.",safe
"وين العشاء اليوم؟",safe
"أمس لعبت مع أصحابي.",safe
"بالله تعال نرتب الحوش.",safe
"الجو اليوم معتدل ومريح.",safe
"اشتي أجيب لك خبز اليوم.",safe
"تعال نروح السوق الكبير.",safe
"شفت لك قهوة جديدة في الحارة.",safe
"وين الولد ضيع الحقيبة؟",safe
"أمس زرت جدة في الحارة.",safe
"خلينا نشوي شوية لحم.",safe
"الجو اليوم حلو ومشمس.",safe
"اشتي أشتري لك تمر اليوم.",safe
"تعال نزرع ورد في الحوش.",safe
"شفت لك بيت مهجور في الحارة.",safe
"وين الطريق للسوق القديم؟",safe
"أمس شربنا شاي مع الجيران.",safe
"بالله تعال نرتب الغرفة.",safe
"الجو اليوم بارد شوي.",safe
"اشتي أجيب لك عصير برتقال.",safe
"تعال نروح المكتبة اليوم.",safe
"شفت لك محل جديد للملابس.",safe
"وين الحقيبة ضاع مني؟",safe
"أمس لعبت مع الأطفال في الحوش.",safe
"خلينا نجّهز العشاء اليوم.",safe
"الجو اليوم معتدل والحمد لله.",safe
"اشتي أشتري لك جبن طازة.",safe
"تعال نزرع شوية طماطم.",safe
"أمس دخلت السوق الكبير.",safe
"بالله وين القهوة اليوم؟",safe
"خلينا نفتح الدكان اليوم.",safe
"الجو اليوم غائم والحمد لله.",safe
"اشتي أجيب لك خبز يمني.",safe
"تعال نلعب بلوت اليوم.",safe
"شفت لك مطعم جديد في الحارة.",safe
"وين العيال اليوم في المدرسة؟",safe
"أمس زرت الحديقة مع العيال.",safe
"خلينا نعمل سلطة خضار.",safe
"الجو اليوم حار شوي.",safe
"اشتي أشتري لك شاي جديد.",safe
"تعال نروح الحارة القديمة.",safe
"شفت لك دكان جديد للحلويات.",safe
"وين السيارة واقفة اليوم؟",safe
"أمس جلسنا مع الجيران.",safe
"خلينا نحضر قهوة عربية.",safe
"الجو اليوم صافي ومشمس.",safe
"اشتي أجيب لك تمر بلدي.",safe
"تعال نزرع فلفل في الحوش.",safe
"شفت لك بيت جديد جنبنا.",safe
"وين الطريق للمزرعة؟",safe
"أمس لعبنا مع العيال في الشارع.",safe
"بالله تعال نرتب البيت.",safe
"الجو اليوم بارد والحمد لله.",safe
"اشتي أجيب لك عصير ليمون.",safe
"تعال نروح المكتبة الكبيرة.",safe
"شفت لك محل جديد للملابس.",safe
"وين الكتاب ضاع مني؟",safe
"أمس لعبت مع أصحابي في الحوش.",safe
"خلينا نحضّر العشاء.",safe
"الجو اليوم لطيف ومعتدل.",safe
"اشتي أشتري لك رز يمني.",safe
"تعال نقطع شوية فواكه.",safe
"شفت لك مسجد جديد.",safe
"وين الحقيبة اليوم؟",safe
"أمس دخلت المدرسة بدري.",safe
"بالله تعال نرتب الحوش.",safe
"الجو اليوم معتدل ومريح.",safe
"اشتي أجيب لك ماء.",safe
"تعال نروح السوق الكبير.",safe
"شفت لك قهوة جديدة.",safe
"وين الولد ضاع اليوم؟",safe
"أمس زرت جدة في الحارة.",safe
"خلينا نشوي شوية لحم.",safe
"الجو اليوم مشمس والحمد لله.",safe
"اشتي أشتري لك تمر.",safe
"تعال نزرع ورد في الحوش.",safe
"شفت لك بيت قديم مهجور.",safe
"وين الطريق للسوق القديم؟",safe
"أمس شربنا شاي مع الجيران.",safe 

مرحبا كيف حالك عساك بخير,safe
تعال شوف العشاء اللي حضرته لك,safe
وينك دايما تفوتني,safe
عندي خبر حلو بقولك اياه بكرة,safe
ابشرك انا توظفت اليوم في الشركة,safe
مبارك لكم الشهر الفضيل,safe
الملف اللي طلبته جاهز عندي,safe
عاد من السفر وراح ازوركم,safe
متى نلقى بعض خلاص نمل,safe
عندك شي جديد تعال احكيلنا,safe
الطقس حلو اليوم حاب اطلع,safe
مين ناوي على الحفلة بكرة,safe
ودي اروح السينما معك,safe
عندي فكرة حلوه بقترحها عليك,safe
القهوة جاهزة تعال على الاخير,safe
يا ليتك تجي نفتح سالفة,safe
فاطمة تسلم عليك وتقول تعال العشاء,safe
شفت الفيلم الجديد ولا لسه,safe
بكرة في اجتماع مهم لا تنسى,safe
